xtype	sim_id	trial	strategy	p
discrete	3	18	3	1.0
discrete	3	19	0	0.0
discrete	3	19	1	0.0
discrete	3	19	2	0.0
discrete	3	19	3	1.0
discrete	3	20	0	0.0
discrete	3	20	1	0.0
discrete	3	20	2	0.0
discrete	3	20	3	1.0
discrete	3	21	0	0.0
discrete	3	21	1	0.0
discrete	3	21	2	0.0
discrete	3	21	3	1.0
discrete	3	22	0	0.0
discrete	3	22	1	0.0
discrete	3	22	2	0.0
discrete	3	22	3	1.0
discrete	3	23	0	0.0
discrete	3	23	1	0.0
discrete	3	23	2	0.0
discrete	3	23	3	1.0
discrete	3	24	0	0.0
discrete	3	24	1	0.0
discrete	3	24	2	0.0
discrete	3	24	3	1.0
discrete	4	0	0	0.0
discrete	4	0	1	0.0
discrete	4	0	2	0.0
discrete	4	0	3	1.0
discrete	4	1	0	0.0
discrete	4	1	1	0.0
discrete	4	1	2	0.0
discrete	4	1	3	1.0
discrete	4	2	0	0.0
discrete	4	2	1	0.0
discrete	4	2	2	0.0
discrete	4	2	3	1.0
discrete	4	3	0	0.0
discrete	4	3	1	0.0
discrete	4	3	2	0.0
discrete	4	3	3	1.0
discrete	4	4	0	0.0
discrete	4	4	1	0.0
discrete	4	4	2	0.0
discrete	4	4	3	1.0
discrete	4	5	0	0.0
discrete	4	5	1	0.0
discrete	4	5	2	0.0
discrete	4	5	3	1.0
discrete	4	6	0	0.0
discrete	4	6	1	0.0
discrete	4	6	2	0.0
discrete	4	6	3	1.0
discrete	4	7	0	0.0
discrete	4	7	1	0.0
discrete	4	7	2	0.0
discrete	4	7	3	1.0
discrete	4	8	0	0.0
discrete	4	8	1	0.0
discrete	4	8	2	0.0
discrete	4	8	3	1.0
discrete	4	9	0	0.0
discrete	4	9	1	0.0
discrete	4	9	2	0.0
discrete	4	9	3	1.0
discrete	4	10	0	0.0
discrete	4	10	1	0.0
discrete	4	10	2	0.0
discrete	4	10	3	1.0
discrete	4	11	0	0.0
discrete	4	11	1	0.0
discrete	4	11	2	0.0
discrete	4	11	3	1.0
discrete	4	12	0	0.0
discrete	4	12	1	0.0
discrete	4	12	2	0.0
discrete	4	12	3	1.0
discrete	4	13	0	0.0
discrete	4	13	1	0.0
discrete	4	13	2	0.0
discrete	4	13	3	1.0
discrete	4	14	0	0.0
discrete	4	14	1	0.0
discrete	4	14	2	0.0
discrete	4	14	3	1.0
discrete	4	15	0	0.0
discrete	4	15	1	0.0
discrete	4	15	2	0.0
discrete	4	15	3	1.0
discrete	4	16	0	0.0
discrete	4	16	1	0.0
discrete	4	16	2	0.0
discrete	4	16	3	1.0
discrete	4	17	0	0.0
discrete	4	17	1	0.0
discrete	4	17	2	0.0
discrete	4	17	3	1.0
discrete	4	18	0	0.0
discrete	4	18	1	0.0
discrete	4	18	2	0.0
discrete	4	18	3	1.0
discrete	4	19	0	0.0
discrete	4	19	1	0.0
discrete	4	19	2	0.0
discrete	4	19	3	1.0
discrete	4	20	0	0.0
discrete	4	20	1	0.0
discrete	4	20	2	0.0
discrete	4	20	3	1.0
discrete	4	21	0	0.0
discrete	4	21	1	0.0
discrete	4	21	2	0.0
discrete	4	21	3	1.0
discrete	4	22	0	0.0
discrete	4	22	1	0.0
discrete	4	22	2	0.0
discrete	4	22	3	1.0
discrete	4	23	0	0.0
discrete	4	23	1	0.0
discrete	4	23	2	0.0
discrete	4	23	3	1.0
discrete	4	24	0	0.0
discrete	4	24	1	0.0
discrete	4	24	2	0.0
discrete	4	24	3	1.0
discrete	5	0	0	0.0
discrete	5	0	1	1.0
discrete	5	0	2	0.0
discrete	5	0	3	0.0
discrete	5	1	0	0.0
discrete	5	1	1	0.0
discrete	5	1	2	1.0
discrete	5	1	3	0.0
discrete	5	2	0	0.0
discrete	5	2	1	0.0
discrete	5	2	2	1.0
discrete	5	2	3	0.0
discrete	5	3	0	0.0
discrete	5	3	1	0.0
discrete	5	3	2	1.0
discrete	5	3	3	0.0
discrete	5	4	0	0.0
discrete	5	4	1	0.0
discrete	5	4	2	1.0
discrete	5	4	3	0.0
discrete	5	5	0	0.0
discrete	5	5	1	0.0
discrete	5	5	2	1.0
discrete	5	5	3	0.0
discrete	5	6	0	0.0
discrete	5	6	1	0.0
discrete	5	6	2	0.0
discrete	5	6	3	1.0
discrete	5	7	0	0.0
discrete	5	7	1	0.0
discrete	5	7	2	0.0
discrete	5	7	3	1.0
discrete	5	8	0	0.0
discrete	5	8	1	0.0
discrete	5	8	2	0.0
discrete	5	8	3	1.0
discrete	5	9	0	0.0
discrete	5	9	1	0.0
discrete	5	9	2	0.0
discrete	5	9	3	1.0
discrete	5	10	0	0.0
discrete	5	10	1	0.0
discrete	5	10	2	0.0
discrete	5	10	3	1.0
discrete	5	11	0	0.0
discrete	5	11	1	0.0
discrete	5	11	2	0.0
discrete	5	11	3	1.0
discrete	5	12	0	0.0
discrete	5	12	1	0.0
discrete	5	12	2	0.0
discrete	5	12	3	1.0
discrete	5	13	0	0.0
discrete	5	13	1	0.0
discrete	5	13	2	0.0
discrete	5	13	3	1.0
discrete	5	14	0	0.0
discrete	5	14	1	0.0
discrete	5	14	2	0.0
discrete	5	14	3	1.0
discrete	5	15	0	0.0
discrete	5	15	1	0.0
discrete	5	15	2	0.0
discrete	5	15	3	1.0
discrete	5	16	0	0.0
discrete	5	16	1	0.0
discrete	5	16	2	0.0
discrete	5	16	3	1.0
discrete	5	17	0	0.0
discrete	5	17	1	0.0
discrete	5	17	2	0.0
discrete	5	17	3	1.0
discrete	5	18	0	0.0
discrete	5	18	1	0.0
discrete	5	18	2	0.0
discrete	5	18	3	1.0
discrete	5	19	0	0.0
discrete	5	19	1	0.0
discrete	5	19	2	0.0
discrete	5	19	3	1.0
discrete	5	20	0	0.0
discrete	5	20	1	0.0
discrete	5	20	2	0.0
discrete	5	20	3	1.0
discrete	5	21	0	0.0
discrete	5	21	1	0.0
discrete	5	21	2	0.0
discrete	5	21	3	1.0
discrete	5	22	0	0.0
discrete	5	22	1	0.0
discrete	5	22	2	0.0
discrete	5	22	3	1.0
discrete	5	23	0	0.0
discrete	5	23	1	0.0
discrete	5	23	2	0.0
discrete	5	23	3	1.0
discrete	5	24	0	0.0
discrete	5	24	1	0.0
discrete	5	24	2	0.0
discrete	5	24	3	1.0
discrete	6	0	0	0.0
discrete	6	0	1	1.0
discrete	6	0	2	0.0
discrete	6	0	3	0.0
discrete	6	1	0	0.0
discrete	6	1	1	0.0
discrete	6	1	2	1.0
discrete	6	1	3	0.0
discrete	6	2	0	0.0
discrete	6	2	1	0.0
discrete	6	2	2	1.0
discrete	6	2	3	0.0
discrete	6	3	0	0.0
discrete	6	3	1	0.0
discrete	6	3	2	1.0
discrete	6	3	3	0.0
discrete	6	4	0	0.0
