subject_id	rank	probability
5	2	0.032503564
6	2	0.032503564
7	2	0.032503564
8	2	0.032503564
9	2	0.032503564
10	2	0.032503564
11	2	0.032503564
12	2	0.032503564
13	2	0.11217174
14	2	0.106219746
15	2	0.106219746
16	2	0.11217174
17	2	0.13550746
18	2	0.15305962
19	2	0.089958236
20	2	0.06927095
21	2	0.10615581
22	2	0.10615581
23	2	0.0312696
24	2	0.0312696
25	2	0.11759945
26	2	0.032501984
27	2	0.15683186
28	2	0.16220728
29	2	0.03250264
30	2	0.16669759
31	2	0.13768911
32	2	0.11998045
33	2	0.032503184
34	2	0.032503404
35	2	0.032503527
36	2	0.09872666
37	2	0.032503556
38	2	0.07535111
39	2	0.11312285
40	2	0.062046356
41	2	0.12707414
42	2	0.13513455
43	2	0.10615567
44	2	0.11736039
45	2	0.040702198
46	2	0.1243664
47	2	0.16737555
48	2	0.10612391
49	2	0.032503456
50	2	0.10558245
51	2	0.031335983
52	2	0.1676005
53	2	0.09791001
54	2	0.10972796
55	2	0.153035
56	2	0.09605337
57	2	0.06443784
58	2	0.07503713
59	2	0.06920795
60	2	0.08994284
61	2	0.02953953
62	2	0.06924525
63	2	0.11217158
64	2	0.10390775
65	2	0.1061534
66	2	0.03172085
67	2	0.09422234
68	2	0.16760392
69	2	0.13207361
70	2	0.10867387
71	2	0.09908661
72	2	0.062271643
73	2	0.074845135
74	2	0.061460864
75	2	0.061684426
76	2	0.11290953
77	2	0.08492401
78	2	0.10597671
79	2	0.09750243
80	2	0.08716482
81	2	0.088654436
82	2	0.11115157
83	2	0.088947006
84	2	0.10037417
85	2	0.1165187
86	2	0.12329733
87	2	0.118325494
88	2	0.104811676
1	3	0.013143741
2	3	0.013143741
3	3	0.013143741
4	3	0.013143741
5	3	0.013143741
6	3	0.013143741
7	3	0.013143741
8	3	0.013143741
9	3	0.013143741
10	3	0.013143741
11	3	0.013143741
12	3	0.013143741
13	3	0.08501756
14	3	0.09596992
15	3	0.09596992
16	3	0.08501756
17	3	0.06064863
18	3	0.06850443
19	3	0.03637716
20	3	0.052502032
21	3	0.10190485
22	3	0.10190485
23	3	0.017379375
24	3	0.017379375
25	3	0.06274337
26	3	0.013143102
27	3	0.07019274
28	3	0.06559313
29	3	0.013143366
30	3	0.06740892
31	3	0.06162507
32	3	0.06668411
33	3	0.013143583
34	3	0.0131436745
35	3	0.013143725
36	3	0.0748272
37	3	0.013143733
38	3	0.054974034
39	3	0.06287269
40	3	0.03448483
41	3	0.06779845
42	3	0.06048173
43	3	0.10190471
44	3	0.06261584
45	3	0.029613782
46	3	0.066353805
47	3	0.06768303
48	3	0.10187421
49	3	0.013143697
50	3	0.077424504
51	3	0.013438965
52	3	0.06777403
53	3	0.09398922
54	3	0.083165355
55	3	0.0684934
56	3	0.09056866
57	3	0.035813987
58	3	0.054744933
59	3	0.052454308
60	3	0.03637094
61	3	0.022565205
62	3	0.052482583
63	3	0.085017465
64	3	0.090964116
65	3	0.10190249
66	3	0.01282723
67	3	0.090449244
68	3	0.06777541
69	3	0.059111793
70	3	0.07906808
71	3	0.083000295
72	3	0.04756921
73	3	0.05460487
74	3	0.05853817
75	3	0.034283664
76	3	0.06275413
77	3	0.034341436
78	3	0.0771057
79	3	0.07731293
80	3	0.06658507
81	3	0.0800996
82	3	0.08424433
83	3	0.06741498
84	3	0.07607589
85	3	0.06476008
86	3	0.065783426
87	3	0.065764286
88	3	0.055920675
1	4	0.0099619385
2	4	0.0099619385
3	4	0.0099619385
4	4	0.0099619385
5	4	0.0099619385
6	4	0.0099619385
7	4	0.0099619385
8	4	0.0099619385
9	4	0.0099619385
10	4	0.0099619385
11	4	0.0099619385
12	4	0.0099619385
13	4	0.045359824
14	4	0.042952947
15	4	0.042952947
16	4	0.045359824
17	4	0.05479626
18	4	0.061894
19	4	0.026539728
20	4	0.050399598
21	4	0.056637835
22	4	0.056637835
23	4	0.01264475
24	4	0.01264475
25	4	0.057218835
26	4	0.009961461
27	4	0.06341938
28	4	0.049714543
29	4	0.009961659
30	4	0.05109076
31	4	0.055678494
32	4	0.048650812
33	4	0.009961824
34	4	0.009961893
35	4	0.009961934
36	4	0.054871425
37	4	0.009961935
38	4	0.054823384
39	4	0.047652666
40	4	0.02613684
41	4	0.051386025
42	4	0.054645464
43	4	0.056637753
44	4	0.057102516
45	4	0.016459087
46	4	0.050291087
47	4	0.05129854
48	4	0.05662081
49	4	0.0099619115
50	4	0.056331906
51	4	0.012671592
52	4	0.05136749
53	4	0.05223841
54	4	0.044371605
55	4	0.061884042
56	4	0.038841907
57	4	0.027144246
58	4	0.054594927
59	4	0.050353795
60	4	0.026535196
61	4	0.012541544
62	4	0.05038092
63	4	0.045359757
64	4	0.055438392
65	4	0.056636542
66	4	0.009798698
67	4	0.0824852
68	4	0.051368542
69	4	0.053407714
70	4	0.05752774
71	4	0.062907845
72	4	0.045431614
73	4	0.054455254
74	4	0.044367414
75	4	0.025984377
76	4	0.045783635
77	4	0.03235927
78	4	0.04743167
79	4	0.043638878
80	4	0.06606424
81	4	0.064502485
82	4	0.04494727
83	4	0.06471539
84	4	0.073029436
85	4	0.047247116
86	4	0.04985876
87	4	0.050237224
88	4	0.04857177
