sim	trial	strategy	p_actual	p_predicted
3	15	1	0.0	1.361922e-18
3	15	2	0.0	0.00066420744
3	15	3	1.0	0.99933577
3	16	0	0.0	0.0
3	16	1	0.0	6.596639e-20
3	16	2	0.0	0.0002688821
3	16	3	1.0	0.999731
3	17	0	0.0	0.0
3	17	1	0.0	3.2035102e-21
3	17	2	0.0	0.00010895791
3	17	3	1.0	0.9998909
3	18	0	0.0	0.0
3	18	1	0.0	1.5656705e-22
3	18	2	0.0	4.4262455e-05
3	18	3	1.0	0.9999556
3	19	0	0.0	0.0
3	19	1	0.0	7.770479e-24
3	19	2	0.0	1.8090675e-05
3	19	3	1.0	0.9999818
3	20	0	0.0	0.0
3	20	1	0.0	3.9966336e-25
3	20	2	0.0	7.503191e-06
3	20	3	1.0	0.99999243
3	21	0	0.0	0.0
3	21	1	0.0	2.2189471e-26
3	21	2	0.0	3.2201492e-06
3	21	3	1.0	0.9999967
3	22	0	0.0	0.0
3	22	1	0.0	1.4173761e-27
3	22	2	0.0	1.4874952e-06
3	22	3	1.0	0.99999845
3	23	0	0.0	0.0
3	23	1	0.0	1.1171088e-28
3	23	2	0.0	7.865707e-07
3	23	3	1.0	0.9999991
3	24	0	0.0	0.0
3	24	1	0.0	1.256683e-29
3	24	2	0.0	5.0301986e-07
3	24	3	1.0	0.9999995
4	0	0	0.0	0.00042535068
4	0	1	0.0	0.018032685
4	0	2	0.0	0.1350673
4	0	3	1.0	0.84647465
4	1	0	0.0	5.2551982e-08
4	1	1	0.0	0.0012582145
4	1	2	0.0	0.071328044
4	1	3	1.0	0.9274137
4	2	0	0.0	6.4927846e-12
4	2	1	0.0	6.0882463e-05
4	2	2	0.0	0.030017497
4	2	3	1.0	0.9699216
4	3	0	0.0	8.021818e-16
4	3	1	0.0	2.9436753e-06
4	3	2	0.0	0.012199476
4	3	3	1.0	0.9877976
4	4	0	0.0	9.910939e-20
4	4	1	0.0	1.4232685e-07
4	4	2	0.0	0.0049378746
4	4	3	1.0	0.99506193
4	5	0	0.0	1.2244941e-23
4	5	1	0.0	6.881508e-09
4	5	2	0.0	0.00199769
4	5	3	1.0	0.9980023
4	6	0	0.0	1.51286015e-27
4	6	1	0.0	3.327213e-10
4	6	2	0.0	0.00080814824
4	6	3	1.0	0.9991919
4	7	0	0.0	1.8691378e-31
4	7	1	0.0	1.6087099e-11
4	7	2	0.0	0.00032692717
4	7	3	1.0	0.9996731
4	8	0	0.0	2.309322e-35
4	8	1	0.0	7.7781287e-13
4	8	2	0.0	0.0001322546
4	8	3	1.0	0.99986774
4	9	0	0.0	2.853167e-39
4	9	1	0.0	3.7607395e-14
4	9	2	0.0	5.3502114e-05
4	9	3	1.0	0.99994653
4	10	0	0.0	3.46e-43
4	10	1	0.0	1.8183337e-15
4	10	2	0.0	2.1643713e-05
4	10	3	1.0	0.99997836
4	11	0	0.0	0.0
4	11	1	0.0	8.79182e-17
4	11	2	0.0	8.755772e-06
4	11	3	1.0	0.99999124
4	12	0	0.0	0.0
4	12	1	0.0	4.251053e-18
4	12	2	0.0	3.5421087e-06
4	12	3	1.0	0.9999964
4	13	0	0.0	0.0
4	13	1	0.0	2.0556287e-19
4	13	2	0.0	1.4329835e-06
4	13	3	1.0	0.99999857
4	14	0	0.0	0.0
4	14	1	0.0	9.941877e-21
4	14	2	0.0	5.7976183e-07
4	14	3	1.0	0.9999994
4	15	0	0.0	0.0
4	15	1	0.0	4.810371e-22
4	15	2	0.0	2.3460107e-07
4	15	3	1.0	0.99999976
4	16	0	0.0	0.0
4	16	1	0.0	2.3299636e-23
4	16	2	0.0	9.497039e-08
4	16	3	1.0	0.9999999
4	17	0	0.0	0.0
4	17	1	0.0	1.13149485e-24
4	17	2	0.0	3.8484416e-08
4	17	3	1.0	0.99999994
4	18	0	0.0	0.0
4	18	1	0.0	5.530021e-26
4	18	2	0.0	1.5633697e-08
4	18	3	1.0	1.0
4	19	0	0.0	0.0
4	19	1	0.0	2.7445692e-27
4	19	2	0.0	6.3897074e-09
4	19	3	1.0	1.0
4	20	0	0.0	0.0
4	20	1	0.0	1.4116296e-28
4	20	2	0.0	2.6501608e-09
4	20	3	1.0	1.0
4	21	0	0.0	0.0
4	21	1	0.0	7.8374245e-30
4	21	2	0.0	1.1373712e-09
4	21	3	1.0	1.0
4	22	0	0.0	0.0
4	22	1	0.0	5.006237e-31
4	22	2	0.0	5.2539e-10
4	22	3	1.0	1.0
4	23	0	0.0	0.0
4	23	1	0.0	3.945681e-32
4	23	2	0.0	2.7782032e-10
4	23	3	1.0	1.0
4	24	0	0.0	0.0
4	24	1	0.0	4.438663e-33
4	24	2	0.0	1.776689e-10
4	24	3	1.0	0.99999994
5	0	0	0.0	0.0047176154
5	0	1	0.0	0.16190019
5	0	2	1.0	0.52638596
5	0	3	0.0	0.30699632
5	1	0	0.0	8.8532465e-07
5	1	1	0.0	0.014570815
5	1	2	1.0	0.64907736
5	1	3	0.0	0.33635098
5	2	0	0.0	1.9828351e-10
5	2	1	0.0	0.0010668124
5	2	2	0.0	0.3419134
5	2	3	1.0	0.65701985
5	3	0	0.0	5.1632835e-14
5	3	1	0.0	9.4814626e-05
5	3	2	0.0	0.2080338
5	3	3	1.0	0.7918714
5	4	0	0.0	1.46243e-17
5	4	1	0.0	9.748376e-06
5	4	2	0.0	0.15331806
5	4	3	1.0	0.84667224
5	5	0	0.0	4.21714e-21
5	5	1	0.0	1.0853241e-06
5	5	2	0.0	0.1311457
5	5	3	1.0	0.8688532
5	6	0	0.0	9.823621e-25
5	6	1	0.0	1.2264185e-07
5	6	2	0.0	0.122173026
5	6	3	1.0	0.8778269
5	7	0	0.0	2.5719283e-28
5	7	1	0.0	1.1098844e-08
5	7	2	0.0	0.11854294
5	7	3	1.0	0.8814571
5	8	0	0.0	6.8781707e-32
5	8	1	0.0	1.1389465e-09
5	8	2	0.0	0.0879966
5	8	3	1.0	0.91200346
5	9	0	0.0	9.0455194e-36
5	9	1	0.0	1.1951067e-10
5	9	2	0.0	0.075639434
5	9	3	1.0	0.92436063
5	10	0	0.0	1.150522e-39
5	10	1	0.0	5.934658e-12
5	10	2	0.0	0.0706405
5	10	3	1.0	0.9293596
5	11	0	0.0	1.37e-43
5	11	1	0.0	2.869465e-13
5	11	2	0.0	0.028576989
5	11	3	1.0	0.9714231
5	12	0	0.0	0.0
5	12	1	0.0	1.3874537e-14
5	12	2	0.0	0.011560696
5	12	3	1.0	0.9884394
5	13	0	0.0	0.0
5	13	1	0.0	6.7091383e-16
5	13	2	0.0	0.0046769558
5	13	3	1.0	0.99532306
5	14	0	0.0	0.0
5	14	1	0.0	3.2448188e-17
5	14	2	0.0	0.0018922202
5	14	3	1.0	0.99810785
5	15	0	0.0	0.0
5	15	1	0.0	1.5700036e-18
5	15	2	0.0	0.0007656885
5	15	3	1.0	0.9992344
5	16	0	0.0	0.0
5	16	1	0.0	7.6045085e-20
5	16	2	0.0	0.00030996327
5	16	3	1.0	0.9996901
5	17	0	0.0	0.0
5	17	1	0.0	3.6929596e-21
5	17	2	0.0	0.00012560505
5	17	3	1.0	0.9998744
5	18	0	0.0	0.0
5	18	1	0.0	1.8048818e-22
5	18	2	0.0	5.102509e-05
5	18	3	1.0	0.99994904
5	19	0	0.0	0.0
5	19	1	0.0	8.957695e-24
5	19	2	0.0	2.0854657e-05
5	19	3	1.0	0.9999792
5	20	0	0.0	0.0
5	20	1	0.0	4.6072613e-25
5	20	2	0.0	8.649566e-06
5	20	3	1.0	0.99999136
5	21	0	0.0	0.0
5	21	1	0.0	2.55797e-26
5	21	2	0.0	3.7121397e-06
5	21	3	1.0	0.99999636
5	22	0	0.0	0.0
5	22	1	0.0	1.6339303e-27
5	22	2	0.0	1.7147623e-06
