subject_id	trial	response_type	probability
95	17	0	0.007897527
95	18	0	0.007897527
95	19	0	0.007897527
95	20	0	0.007897527
95	21	0	0.007897527
95	22	0	0.007897526
95	23	0	0.007897527
95	24	0	0.007897527
96	0	0	0.089921914
96	1	0	0.01975149
96	2	0	0.009610653
96	3	0	0.008145117
96	4	0	0.007933315
96	5	0	0.007902702
96	6	0	0.007898278
96	7	0	0.007897637
96	8	0	0.007897544
96	9	0	0.00789753
96	10	0	0.007897529
96	11	0	0.007897529
96	12	0	0.007897526
96	13	0	0.007897528
96	14	0	0.007897526
96	15	0	0.007897526
96	16	0	0.007897527
96	17	0	0.007897526
96	18	0	0.007897526
96	19	0	0.007897526
96	20	0	0.007897526
96	21	0	0.007897527
96	22	0	0.007897527
96	23	0	0.007897527
96	24	0	0.007897527
97	0	0	0.022770667
97	1	0	0.016950341
97	2	0	0.016077148
97	3	0	0.009082963
97	4	0	0.008070012
97	5	0	0.007922596
97	6	0	0.007900809
97	7	0	0.007897973
97	8	0	0.00789759
97	9	0	0.007897537
97	10	0	0.00789753
97	11	0	0.007897528
97	12	0	0.007897528
97	13	0	0.007897527
97	14	0	0.007897528
97	15	0	0.007897528
97	16	0	0.007897528
97	17	0	0.007897528
97	18	0	0.007897529
97	19	0	0.007897528
97	20	0	0.007897528
97	21	0	0.007897528
97	22	0	0.007897528
97	23	0	0.007897528
97	24	0	0.007897528
98	0	0	0.07619783
98	1	0	0.01693256
98	2	0	0.009132974
98	3	0	0.008070161
98	4	0	0.007921978
98	5	0	0.0079010185
98	6	0	0.007898027
98	7	0	0.0078976
98	8	0	0.007897538
98	9	0	0.00789753
98	10	0	0.007897529
98	11	0	0.007897528
98	12	0	0.007897528
98	13	0	0.007897528
98	14	0	0.007897529
98	15	0	0.007897529
98	16	0	0.007897529
98	17	0	0.007897528
98	18	0	0.007897529
98	19	0	0.007897529
98	20	0	0.007897528
98	21	0	0.007897529
98	22	0	0.007897529
98	23	0	0.007897528
98	24	0	0.007897529
99	0	0	0.068607
99	1	0	0.06276253
99	2	0	0.015830766
99	3	0	0.009044559
99	4	0	0.008062059
99	5	0	0.007921222
99	6	0	0.007900964
99	7	0	0.00789803
99	8	0	0.007897603
99	9	0	0.00789754
99	10	0	0.007897532
99	11	0	0.007897531
99	12	0	0.007897531
99	13	0	0.00789753
99	14	0	0.00789753
99	15	0	0.007897529
99	16	0	0.00789753
99	17	0	0.00789753
99	18	0	0.00789753
99	19	0	0.00789753
99	20	0	0.00789753
99	21	0	0.00789753
99	22	0	0.00789753
99	23	0	0.00789753
99	24	0	0.00789753
100	0	0	0.01691494
100	1	0	0.009201024
100	2	0	0.00808602
100	3	0	0.007924784
100	4	0	0.007901436
100	5	0	0.007898091
100	6	0	0.007897611
100	7	0	0.007897542
100	8	0	0.007897531
100	9	0	0.00789753
100	10	0	0.00789753
100	11	0	0.00789753
100	12	0	0.00789753
100	13	0	0.00789753
100	14	0	0.00789753
100	15	0	0.007897529
100	16	0	0.007897529
100	17	0	0.00789753
100	18	0	0.007897529
100	19	0	0.007897529
100	20	0	0.007897529
100	21	0	0.007897528
100	22	0	0.007897529
100	23	0	0.007897529
100	24	0	0.007897529
101	0	0	0.08978339
101	1	0	0.019734444
101	2	0	0.009608652
101	3	0	0.00814411
101	4	0	0.007933222
101	5	0	0.007902695
101	6	0	0.007898261
101	7	0	0.007897635
101	8	0	0.007897542
101	9	0	0.00789753
101	10	0	0.007897528
101	11	0	0.007897528
101	12	0	0.007897528
101	13	0	0.007897527
101	14	0	0.007897528
101	15	0	0.007897528
101	16	0	0.007897527
101	17	0	0.007897527
101	18	0	0.007897527
101	19	0	0.007897528
101	20	0	0.007897528
101	21	0	0.007897528
101	22	0	0.007897527
101	23	0	0.007897528
101	24	0	0.007897528
102	0	0	0.016294539
102	1	0	0.009095029
102	2	0	0.008069254
102	3	0	0.007922246
102	4	0	0.007901104
102	5	0	0.007898043
102	6	0	0.007897604
102	7	0	0.007897541
102	8	0	0.007897533
102	9	0	0.007897531
102	10	0	0.00789753
102	11	0	0.007897531
102	12	0	0.007897531
